Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory (EN),Subcategory (TH),Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-040,9-13610-450-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,DA120,TX74,TX74,,,,
WPA-041,5-13610-169-3,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,C240 (Fork Lift),TCM (FORK LIFT),TCM (รถยก),,,,
WPA-042,5-13610-184-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4BC2,"NKR 110, 4BC2","NKR 110, 4BC2",,,,
WPA-043,8-97021-171-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4BE1,"NPR 115, 4BE1","NPR 115, 4BE1",,,,
WPA-044,8-97019-676-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"4HF1, 4HG1","NPR 120, 4HF1","NPR 120, 4HF1",,,,
WPA-045,1-13610-819-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6BG1,"ROCKY 175, 6BG1","ROCKY 175, 6BG1",,,,
WPA-046,8-94393-447-3,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"6HE1, 6HH1(12V)","ROCKY 195, 6HE1, 6HH1 (12V)","ROCKY 195, 6HE1, 6HH1(12V)",,,,
WPA-047,1-13610-842-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6SA1,"ROCKY 210, 6SA1","ROCKY 210, 6SA1",,,,
WPA-048,1-13610-676-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6SD1,"ROCKY 240, 6SD1 (มู่เล่ย์2ร่อง)","ROCKY 240, 6SD1 (มู่เล่ย์2ร่อง)",,,,
WPA-050,8-94390-599-4,8-97602-773-0,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6HH1(24V),"DECA 200, 6HH1 (24V)","DECA 200, 6HH1(24V)",,,,
WPA-051,,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,6HE1 (3 Grooves Pulley),6HE1 (มู่เล่ย์3ร่อง),,,,
WPA-052,8-97602-781-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6HE1-T,"DECA 230, 6HE1-TC","DECA 230 (มู่เล่ย์4ร่อง), 6HE1-TC",,,,
WPA-053,1-13650-002-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6SD1-TCN,"6SD1-TCN, DECA 270",DECA 270,,ขนาดท่อ,,
