Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory,Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-046,8-94393-447-3,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,"6HE1, 6HH1(12V)","ROCKY 195, 6HE1, 6HH1 (12V)","ROCKY 195, 6HE1, 6HH1(12V)",,,,
WPA-047,1-13610-842-1,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6SA1,"ROCKY 210, 6SA1","ROCKY 210, 6SA1",,,,
WPA-048,1-13610-676-1,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6SD1,"ROCKY 240, 6SD1 (มู่เล่ย์2ร่อง)","ROCKY 240, 6SD1 (มู่เล่ย์2ร่อง)",,,,
WPA-050,8-94390-599-4,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6HH1(24V),"DECA 200, 6HH1 (24V)","DECA 200, 6HH1(24V)",,,,
WPA-051,,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,,6HE1 (3 Grooves Pulley),6HE1 (มู่เล่ย์3ร่อง),,,,
WPA-052,8-97602-781-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6HE1-T,"DECA 230, 6HE1-TC","DECA 230 (มู่เล่ย์4ร่อง), 6HE1-TC",,,,
WPA-053,1-13650-002-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6SD1-TCN,DECA 270,DECA 270 (มู่เล่ย์2ร่อง),,ขนาดท่อ,,
WPA-054,1-13650-159-1,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6SD1-TCS,DECA 320,DECA 320 (มู่เล่ย์3ร่อง),,ขนาดท่อ ,,
WPA-078,,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,,ROCKY 240เครื่องเก่า(มู่เล่ย์2ร่อง),ROCKY 240เครื่องเก่า(มู่เล่ย์2ร่อง),,ขนาดท่อ,,
WPA-083,8-98042-848-2,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,"6HF1, 6HK1","6HK1, 6HF1, DECA 240","6HK1, 6HF1, DECA 240",,,,
WPA-093,1-87310-954-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6UZ1,"DECA 360, 6UZ1","DECA 360, 6UZ1",,,,
WPA-055,ME996861,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,4D31,"CANTER 4D31, FE444","CANTER 4D31, FE444",,,,
WPA-056,ME996867,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,4D32,"CANTER 4D32, 4D34","CANTER 4D32, 4D34",,,,
WPA-057,31645-02012,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,4DR5,CANTER 4DR5,CANTER 4DR5,,,,
